n,d,p_feas,max_feas,min_feas
1,1,0.5046,0.5046,0.5046
1,2,0.5964,0.5964,0.5964
1,3,0.678,0.7354666666666668,0.6702000000000001
1,4,0.7254,0.8515999999999999,0.6989999999999996
1,5,0.7598,0.95236,0.7137999999999995
1,6,0.7946,0.9999999999999998,0.7206
2,1,0.2496,0.24959999999999996,0.24959999999999996
2,2,0.4192,0.45869999999999994,0.41339999999999977
2,3,0.5546,0.7074000000000477,0.5198000000000044
2,4,0.65,0.9535999999999846,0.5546000000002698
2,5,0.7264,1.0000000000000002,0.5911999999999997
2,6,0.7872,1,0.6532666666667309
3,1,0.1276,0.1276,0.1276
3,2,0.292,0.33315000000000006,0.28679999999999
3,3,0.469,0.641422222222216,0.4242000000000155
3,4,0.6062,0.994006250000002,0.4847333333333334
3,5,0.7258,1,0.5820999999996371
3,6,0.8062,0.9999999999999999,0.6113333333333347
4,1,0.0641,0.0641,0.0641
4,2,0.2101,0.24233750000000243,0.2061999999999999
4,3,0.3987,0.5533913580246885,0.3595000000000066
4,4,0.5782,0.984097656249999,0.4585666666666662
4,5,0.7384,1,0.56773333333343
4,6,0.8492,1,0.6396000000000471
5,1,0.0364,0.0364,0.0364
5,2,0.1507,0.17667500000000091,0.14780000000000434
5,3,0.3396,0.4878679012345674,0.2912000000001397
5,4,0.5571,0.9954314453125007,0.43096666666666517
5,5,0.7464,1,0.5516
6,1,0.013,0.013,0.013
6,2,0.0996,0.11485625000000013,0.09800000000000002
6,3,0.2921,0.41056488340192066,0.2523999999995671
6,4,0.5418,0.9818435546875001,0.4114666666666721
7,1,0.0058,0.0058000000000000005,0.0058000000000000005
7,2,0.0748,0.08462187499999996,0.07339999999999992
7,3,0.2608,0.3752563328760859,0.21829999999994698
8,1,0.004,0.004,0.004
8,2,0.0542,0.06332500000000002,0.05379999999999942
